,tweets,sentiment,predict_sentiment
3049,"['informasi', 'jadwal', 'vaksin', 'booster', 'gresik', 'selasa', 'november']",1.0,1.0
3365,"['ps', 'lepas', 'cucuk', 'vaksin', 'booster', 'takpe']",-1.0,-1.0
3469,"['nhu', 'vaksin', 'booster', 'cepat', 'sembuh', 'nhu', 'cepat', 'smbuh']",1.0,1.0
1862,"['danramil', 'tamansari', 'mayor', 'inf', 'mulia', 'adi', 'dharma', 'ajak', 'warga', 'vaksinbooster']",1.0,1.0
3880,"['bekas', 'kacau', 'banget', 'cari', 'vaksin', 'booster', 'susah', 'banget', 'peduli', 'lindung', 'gajelas', 'tulis', 'sedia', 'pas', 'didatengin', 'kosong', 'vaksin', 'kotor']",-1.0,-1.0
4620,"['informasi', 'lokasi', 'jadwal', 'vaksin', 'booster', 'kota', 'oktober']",1.0,1.0
4351,"['tiongkok', 'vaksin', 'booster', 'hirup', 'dunia']",-1.0,1.0
3509,"['jadwal', 'vaksin', 'booster', 'depok', 'november', 'simak', 'informasi']",1.0,1.0
4149,"['informasi', 'vaksin', 'booster', 'moderna', 'ndes']",1.0,1.0
4480,"['dihh', 'vaksin', 'booster', 'maksa']",-1.0,-1.0
1383,"['coba', 'culun', 'banget', 'najis', 'ayo', 'takut', 'maju', 'dua', 'vaksin', 'booster']",1.0,1.0
2086,"['contoh', 'malu', 'mantan', 'rektor', 'sedia', 'fasilitas', 'vaksin', 'booster', 'gratis', 'manfaat', 'bgitu', 'protes', 'mudah', 'situ', 'waras', 'mbelgedes']",1.0,1.0
1319,"['kapolres', 'magetan', 'forkopimda', 'magetan', 'tinjau', 'laksana', 'giat', 'gebyar', 'vaksin', 'booster', 'covid', 'magetan', 'magetan', 'sehat', 'tangguh', 'pendopo', 'surya', 'graha', 'tim', 'vaksinator', 'dokkes', 'kepolisianresor', 'magetan', 'tim', 'vaksinator', 'tentaranasionalindonesia', 'tim', 'vaksinator', 'dinkes', 'magetan']",1.0,1.0
1468,"['vaksin', 'booster', 'tahap', 'personel', 'gunung', 'riah', 'polresta', 'deli', 'serdang']",1.0,1.0
2312,"['lanjutusia', 'bogor', 'vaksin', 'buat', 'indovac', 'biofarma', 'usaha', 'bumn', 'laksana', 'vaksin', 'booster', 'bukti', 'vaksin', 'karya', 'anak', 'bangsa', 'kualitas', 'aman', 'halal']",1.0,1.0
1371,"['data', 'bukti', 'persen', 'pasien', 'rawat', 'pekan', 'vaksin', 'booster']",-1.0,-1.0
5008,"['vaksin', 'booster', 'langka', 'tumpang', 'pesawat', 'udara', 'ancam', 'gagal', 'berangkat', 'baca']",-1.0,-1.0
1580,"['minat', 'lanjutusia', 'vaksin', 'booster', 'turun', 'surabaya', 'jemput', 'bola']",1.0,1.0
1769,"['yokkk', 'gaisss', 'lupa', 'vaksin', 'booster', 'hindar', 'covid', 'sehat']",1.0,1.0
1550,"['covid', 'edy', 'imbau', 'warga', 'terap', 'prokes', 'vaksin', 'booster', 'jelang', 'nataru', 'via']",1.0,1.0
1483,"['laksana', 'vaksin', 'booster', 'bukti', 'vaksin', 'karya', 'anak', 'bangsa', 'kualitas', 'aman', 'halal', 'covid', 'tingkat', 'lindung', 'keluarga', 'salah', 'satu', 'vaksin', 'booster']",1.0,1.0
2784,"['vaksin', 'booster', 'hadap', 'naik', 'covid']",1.0,1.0
1870,"['suntik', 'vaksin', 'booster', 'produk', 'lokal', 'indovac']",1.0,1.0
23,"['vaksin', 'sertifikat', 'vaksin', 'vaksin', 'booster', 'vaksin', 'booster', 'nama', 'terang', 'vaksin', 'vaksin', 'booster']",1.0,1.0
2921,"['pakar', 'negara', 'vaksin', 'booster', 'masyarakat']",-1.0,-1.0
4315,"['bahasa', 'mudeng', 'fakta', 'tetangga', 'istri', 'vaksin', 'booster', 'tinggal', 'covid', 'suami', 'vaksin', 'covid', 'rawat', 'vaksin']",-1.0,1.0
4828,"['banget', 'butuh', 'vaksin', 'booster']",-1.0,-1.0
263,"['vaksin', 'booster', 'milik', 'sio', 'forklift', 'posisi', 'operator', 'forklift', 'sehat', 'jasmani', 'rohani', 'shift', 'tempat', 'kawasan', 'cibitung', 'bekas', 'minat', 'dmcomment', 'silah', 'isi', 'link']",1.0,1.0
2809,"['vaksin', 'booster', 'lupa', 'terap', 'protokol', 'sehat', 'putus', 'sebar', 'covid', 'varian', 'omicron', 'jepang', 'nora']",1.0,1.0
2154,"['tanggal', 'vaksin', 'booster', 'prtma', 'pkm', 'waluyadg', 'vaksin', 'pfizersy', 'buka', 'apk', 'pedulindungi', 'sore', 'sertifiktny', 'ko', 'astrazeneca', 'tanggal', 'kepolisianresor', 'bogorpdhal', 'dbooster', 'prtma', 'pagi', 'tadislma', 'bogor']",-1.0,-1.0
2131,"['booster', 'gratis', 'mudah', 'rakyat', 'skrng', 'vaksin', 'booster', 'akibat', 'lalai', 'sedia']",1.0,1.0
1803,"['dinas', 'sehat', 'dinkes', 'daerahkhususibukota', 'jakarta', 'buka', 'vaksinasi', 'sore', 'malam', 'vaksin', 'booster', 'vaksin', 'empat', 'lanjutusia', 'sasar', 'utama']",1.0,1.0
1643,"['vaksin', 'booster', 'pandemi']",-1.0,-1.0
3130,"['selamat', 'malam', 'pas', 'boarding', 'salah', 'tumpang', 'vaksin', 'booster', 'alas', 'tiket', 'vaksin', 'muncul', 'peduli', 'lindung', 'tolak', 'tugas', 'tiket', 'dicancel', 'full']",1.0,1.0
1101,"['vaksin', 'booster', 'palembang', 'prabumulih', 'informasi']",1.0,1.0
5278,"['informasi', 'vaksin', 'booster', 'karawang']",1.0,1.0
3708,"['ayo', 'info', 'vaksin', 'booster', 'teteh', 'tertawa']",1.0,1.0
1244,"['syarat', 'terbang', 'negeri', 'wajib', 'pcr', 'vaksin', 'booster']",-1.0,-1.0
2753,"['saksi', 'talkshow', 'besok', 'covid', 'sirna', 'tangkal', 'prokes', 'vaksin', 'booster', 'faisal', 'rizal', 'matondang', 'spp', 'rspi', 'sulianti', 'saroso']",1.0,1.0
2316,"['vaksin', 'booster', 'gelar', 'booster', 'vaksin', 'indovac']",1.0,1.0
794,"['neng', 'banget', 'carat', 'kakak', 'sea', 'ngadain', 'kaa', 'sempat', 'nonton', 'konser', 'bong', 'oiyaa', 'legal', 'kaa', 'ijin', 'tua', 'vaksin', 'booster', 'pasti']",1.0,1.0
2550,"['dukung', 'cegah', 'tular', 'virus', 'covid', 'ps', 'panit', 'binmas', 'wonoasih', 'sambang', 'pabrik', 'usaha', 'wilayah', 'wonoasih', 'himbauan', 'keamanandanketertibanmasyarakat', 'jalan', 'protokol', 'sehat', 'ajak', 'vaksin', 'booster', 'karyawan']",1.0,1.0
3945,"['cari', 'vaksin', 'booster', 'jakarta']",-1.0,-1.0
5160,"['informasi', 'vaksin', 'booster', 'semarang', 'gaisss', 'pulanggg']",1.0,1.0
1779,"['gara-gara', 'vaksin', 'booster']",-1.0,-1.0
5414,"['selidik', 'pengaruh', 'adiksi', 'vaksin', 'booster', 'bnn', 'investigasi']",1.0,1.0
5235,"['daks', 'informasi', 'vaksin', 'booster', 'daerah', 'besok', 'terimakasih']",1.0,1.0
4162,"['malang', 'booster', 'apkh', 'vaksin', 'vaksin', 'booster', 'habis', 'stok', 'antigen']",-1.0,-1.0
2834,"['informasi', 'vaksin', 'booster', 'travel', 'macet', 'waras']",1.0,1.0
4204,"['malam', 'berangkat', 'kota', 'stasiun', 'gambir', 'vaksin', 'booster', 'sana', 'test', 'rapid', 'terimakasih']",1.0,1.0
1545,"['layan', 'vaksin', 'booster', 'sedia']",1.0,1.0
4093,"['vaksin', 'booster', 'covid', 'oral', 'sedia', 'shanghai', 'china']",1.0,1.0
4520,"['cari', 'vaksin', 'booster', 'jalan', 'dm']",-1.0,-1.0
2669,"['informasi', 'vaksin', 'booster', 'dongg']",1.0,1.0
5468,"['usaha', 'tolak', 'bang', 'istri', 'lanjur', 'tunggu', 'bijak', 'hapus', 'vaksin', 'booster', 'salah', 'syarat', 'pulang', 'pulang']",-1.0,-1.0
5396,"['stok', 'vaksin', 'booster', 'tip', 'remu', 'sorong', 'henti', 'layan']",-1.0,1.0
5846,"['konser', 'pusing', 'cari', 'vaksin', 'booster', 'tembok']",-1.0,-1.0
530,"['nglanjuk', 'serma', 'jaswadi', 'laksana', 'giat', 'bintahwil', 'perangkat', 'kait', 'damping', 'salur', 'blt', 'bbm', 'vaksin', 'booster', 'warga', 'tempat', 'aula', 'balai', 'nglanjuk']",-1.0,-1.0
3917,"['vaksinasi', 'covid', 'galak', 'tekan', 'papar', 'virus', 'corona', 'simak', 'jadwal', 'vaksin', 'booster', 'november', 'wilayah', 'sragen']",1.0,-1.0
5786,"['selamat', 'sore', 'bantu', 'airlines', 'tumpang', 'vaksin', 'booster', 'kenan', 'terbang', 'ada', 'tata', 'terbang']",1.0,1.0
1046,"['vaksin', 'booster', 'beli', 'kado', 'teman', 'sms', 'tgr', 'gara', 'booster', 'ngalah', 'cilegon', 'booster', 'sana', 'tgr', 'ketat', 'bestie']",-1.0,-1.0
4272,"['vaksin', 'booster', 'lupa', 'terap', 'protokol', 'sehat', 'putus', 'sebar', 'covid', 'varian', 'omicron', 'konflik', 'dipungkiri', 'tular']",1.0,1.0
5813,"['urgen', 'informasi', 'buka', 'vaksin', 'booster', 'jbrfess']",1.0,1.0
1817,"['vaksin', 'booster', 'beres', 'vaksin', 'sertifikat', 'lebihbaik', 'cari', 'booster', 'coba']",-1.0,1.0
2387,"['vaksin', 'booster', 'mantap', 'linu', 'tertawa']",1.0,1.0
2705,"['vaksin', 'inavac', 'karya', 'universitas', 'airlangga', 'izin', 'guna', 'darurat', 'eua', 'bpom', 'vaksin', 'booster', 'usia', 'vaksin', 'jadi', 'vaksin', 'booster', 'heterolog', 'primer', 'vaksin', 'sinovac']",-1.0,-1.0
599,"['bawah', 'keretapesawat', 'mesti', 'vaksin', 'booster', 'atur', 'aneh', 'serang', 'jantung', 'nanggung', 'bpjs', 'biaya', 'rakyat', 'bijak']",1.0,-1.0
4645,"['ikut', 'alsn', 'kwt', 'ikut', 'orangtua', 'otpit', 'wang', 'ksn', 'laigstik', 'bkln', 'pilih', 'vaksin', 'booster']",-1.0,-1.0
2750,"['info', 'flight', 'jakarta', 'bal', 'vaksin', 'booster', 'swab', 'terimakasih']",1.0,1.0
4034,"['ambil', 'vaksin', 'booster', 'ngerasa', 'vaksin', 'gampang', 'banget', 'sakit']",-1.0,-1.0
239,"['tertawa', 'tunggu', 'vaksin', 'booster']",1.0,1.0
1832,"['vaksin', 'booster', 'jaga', 'sehat', 'patuh', 'protokol', 'sehat', 'varian', 'intai']",1.0,1.0
233,"['covid', 'lupa', 'terap', 'protokol', 'sehat', 'vaksin', 'booster']",1.0,1.0
2948,"['list', 'syukur', 'ku', 'vaksin', 'booster', 'badan', 'ku', 'sehat', 'pikir', 'ku', 'fress', 'bagi', 'informasi', 'sehat', 'kontak', 'wasyukurilah']",1.0,1.0
1025,"['pagi', 'izin', 'ikut', 'terimakasih', 'ngadain', 'vaksin', 'booster', 'banget', 'nonton', 'bong', 'ndengerin', 'suara', 'dk', 'ngerasain', 'lompat', 'aju', 'bagus', 'bareng', 'teman', 'carat']",1.0,1.0
3926,"['silah', 'vaksin', 'booster', 'sentra', 'vaksinasi', 'polkesma']",1.0,1.0
2115,"['pakai', 'otak', 'vaksin', 'vaksin', 'booster', 'gratis', 'cekal', 'ikut', 'atur']",1.0,1.0
5582,"['maaf', 'jalan', 'kakak', 'jarak', 'tumpang', 'usia', 'wajib', 'vaskinasi', 'dosis', 'tiga', 'kakak', 'vaksin', 'booster', 'terimakasih']",1.0,1.0
439,"['hindar', 'tular', 'covid', 'patuh', 'prokes', 'lengkap', 'vaksin', 'booster', 'mu', 'cepat', 'virus', 'tular', 'cepat', 'terap', 'protokol', 'sehat', 'bosan', 'mana']",1.0,1.0
2317,"['masyarakat', 'lanjut', 'vaksin', 'booster', 'sehat']",1.0,1.0
4365,"['ndes', 'vaksin', 'booster', 'semarang', 'susah', 'cari', 'cek', 'victori', 'kuota', 'penuh']",-1.0,-1.0
4011,"['cepat', 'sunti', 'vaksin', 'booster', 'distribusi', 'juta', 'vaksin', 'pfizer', 'provinsi']",1.0,1.0
1831,"['ayo', 'vaksin', 'booster', 'jaga', 'sehat', 'lupa', 'pakai']",1.0,1.0
199,"['wadaw', 'pantes', 'menang', 'menang', 'rupany', 'vaksin', 'booster']",1.0,1.0
4367,"['kota', 'atas', 'vaksin', 'booster', 'rapid']",-1.0,-1.0
3869,"['juta', 'masyarakat', 'rentan', 'terporteksi', 'vaksin', 'booster']",-1.0,-1.0
4183,"['jaga', 'prokes', 'musim', 'situasi', 'pandemi', 'covid', 'sepenuh', 'rileks', 'stres', 'ujung', 'turun', 'sistem', 'imunitas', 'tubuh', 'vaksin', 'booster', 'satu', 'bangun', 'bangsa']",-1.0,-1.0
5148,"['cgk', 'sedia', 'vaksin', 'booster', 'nov', 'berangkat', 'pesawat']",-1.0,-1.0
2656,"['lindung', 'tambah', 'vaksin', 'booster', 'lanjutusia']",1.0,1.0
177,"['semesta', 'kasih', 'lancar', 'vaksin', 'booster']",1.0,1.0
1951,"['fajar', 'utama', 'pwtyk', 'wajib', 'vaksin', 'booster']",-1.0,-1.0
1487,"['syukur', 'gtu', 'vaksin', 'booster']",1.0,1.0
2707,"['sertifikat', 'vaksin', 'booster', 'muncul', 'kesel', 'banget', 'butuh', 'banget', 'allah']",-1.0,1.0
4880,"['dips', 'informasi', 'vaksin', 'booster', 'tembalang', 'gakk']",1.0,1.0
783,"['dukung', 'gelar', 'tajemtra', 'kepolisianresor', 'jember', 'siap', 'aman', 'cepat', 'vaksin', 'booster']",1.0,1.0
683,"['vaksin', 'booster', 'ayo', 'vaksin', 'tempat', 'layan', 'sehat', 'kebal']",1.0,1.0
1220,"['takut', 'vaksin', 'booster']",1.0,1.0
5619,"['informasi', 'vaksin', 'booster', 'daerah', 'jakarta']",1.0,1.0
79,"['selamat', 'pagi', 'maaf', 'balas', 'padat', 'antre', 'interaksi', 'calon', 'tumpang', 'kakak', 'lokal', 'wajib', 'vaksin', 'booster', 'berangkat', 'wajib', 'vaksin', 'minimal', 'dosis']",1.0,1.0
3437,"['ada', 'informasi', 'vaksin', 'booster', 'area', 'tangselkab', 'tangerang']",1.0,1.0
1039,"['ikut', 'achh', 'umur', 'syudah', 'legal', 'syudah', 'vaksin', 'booster', 'syudah', 'lengkap', 'vaksin', 'bayi', 'gede', 'bagong', 'temu', 'seventeen', 'terimakasih', 'yachhh', 'moga', 'ketuk', 'pintu', 'hatimuu', 'heuheuheu']",1.0,1.0
1786,"['argo', 'parahyangan', 'vaksin', 'booster', 'jarak']",1.0,1.0
4340,"['teman', 'informasi', 'vaksin', 'booster', 'area', 'cibubur', 'informasi', 'trimakasih']",1.0,1.0
4016,"['vaksin', 'booster', 'bantul', 'november', 'jadwal', 'link', 'daftar']",1.0,1.0
420,"['lupa', 'laksana', 'prokes', 'vaksin', 'booster']",1.0,1.0
308,"['rute', 'solo', 'semarang', 'vaksin', 'booster']",1.0,1.0
5098,"['bom', 'vaksin', 'booster', 'smpe', 'semalem', 'pas', 'tidur', 'bawa', 'mimpi']",1.0,1.0
5044,"['informasi', 'vaksin', 'booster', 'daerah', 'bekasijakarta', 'terimakasih']",1.0,1.0
2886,"['coba', 'denbar', 'soputan', 'vaksin', 'booster', 'sepi', 'antre']",-1.0,1.0
1919,"['lokasi', 'vaksin', 'booster', 'jabodetabek', 'desember', 'klik', 'baca']",1.0,1.0
3076,"['antisipasi', 'lonjak', 'covid', 'bupati', 'magetan', 'ajak', 'warga', 'tingkat', 'sadar', 'vaksin', 'booster']",1.0,1.0
1057,"['toweltowel', 'teleponseluler', 'flagship', 'surabaya', 'desember', 'serta', 'vaksin', 'booster', 'bayar', 'uang', 'komitmen', 'hadir', 'rp', 'ribu', 'dana', 'pakai', 'bayar', 'paket', 'makanminum', 'hotel', 'bintang', 'informasi', 'rinci', 'cek', 'lampir']",1.0,1.0
2236,"['bosann', 'omong', 'kosong', 'vaksin', 'booster', 'korona', 'siasat', 'busuk', 'jegal', 'calon', 'anis', 'dipilpres']",-1.0,-1.0
1212,"['kakak', 'barang', 'jasa', 'vaksin', 'booster', 'suntik', 'bayar', 'sertifikat', 'muncul', 'pedulilindungi']",1.0,1.0
889,"['juta', 'masyarakat', 'rentan', 'vaksin', 'covid', 'dosis', 'tiga', 'booster', 'selasa', 'desember', 'program', 'vaksin', 'booster', 'masyarakat', 'jalan']",-1.0,1.0
5726,"['bijak', 'tumpang', 'lokal', 'vaksin', 'booster', 'kece', 'cek', 'bilang', 'wajib', 'jarak', 'booster', 'posisi', 'stasiun', 'cikarang', 'tugas']",1.0,1.0
5230,"['ngucapin', 'pakai', 'foto', 'cakep', 'untung', 'vaksin', 'booster', 'kuattt']",1.0,1.0
561,"['vaksin', 'booster', 'sekolah', 'besok']",1.0,1.0
4708,"['yh', 'vaksin', 'booster', 'demam', 'umur', 'hidup', 'kh', 'mniez']",1.0,1.0
3907,"['koramil', 'btp', 'sertu', 'ahmad', 'suroto', 'laksana', 'pantau', 'giat', 'vaksin', 'booster', 'banguntapan', 'banguntapan', 'kalurahan', 'banguntapan', 'kapanewon', 'banguntapan', 'bantul']",1.0,1.0
5426,"['vaksin', 'booster', 'sinovac', 'sinopharm', 'pfizer', 'muncul']",1.0,-1.0
5422,"['cek', 'tiket', 'jadwal', 'vaksin', 'booster', 'pedulilindungi']",-1.0,-1.0
5184,"['informasi', 'vaksin', 'booster', 'besok', 'jog']",1.0,1.0
1044,"['braw', 'vaksin', 'booster', 'rsi', 'unisma', 'bsia', 'agama', 'islam', 'terimakasih']",1.0,1.0
3505,"['maksa', 'pas', 'habis', 'pilek', 'vaksin', 'booster', 'skjne', 'karo', 'nakes', 'wara', 'tidakapa-apa', 'bu', 'sehat', 'kenek', 'efek', 'samping', 'ndredeg', 'tertawa']",1.0,1.0
4463,"['informasi', 'tulung', 'inpo', 'ready', 'vaksin', 'booster', 'urgent', 'suwun', 'jog']",1.0,1.0
2229,"['ragu', 'efektivitas', 'vaksin', 'vaksin', 'booster']",-1.0,-1.0
4540,"['butuh', 'vaksin', 'booster', 'allah', 'bayar', 'tidakapa-apa']",1.0,1.0
2526,"['waspada', 'varian', 'omicron', 'xxb', 'kenal', 'gejala', 'ayo', 'vaksin', 'booster', 'waspada', 'gejala', 'berat', 'alami', 'papar', 'lengkap', 'vaksinasi']",1.0,1.0
4489,"['sebagaiinformasi', 'cari', 'vaksin', 'booster', 'kimia', 'farma', 'setiabudi', 'butuh', 'kontak', 'dm', 'mesan']",-1.0,-1.0
763,"['selamat', 'pagi', 'jalan', 'tanggal', 'agustus', 'tumpang', 'kakak', 'antarkota', 'usia', 'wajib', 'vaksin', 'booster', 'informasi', 'lengkap', 'cek', 'link', 'terimakasih']",1.0,1.0
5182,"['atur', 'swab', 'tiada', 'vaksin', 'booster']",1.0,1.0
3384,"['pesawat', 'booster', 'vaksin', 'booster', 'antigen', 'pcr']",-1.0,-1.0
2118,"['tinggal', 'dekat', 'vaksin', 'booster', 'simple', 'pilih', 'moda', 'transportasi', 'simple']",1.0,1.0
1844,"['njir', 'yasudah', 'tidakapa-apa', 'dreamis', 'tidakapa-apa', 'ayo', 'udaj', 'vaksin', 'booster']",1.0,1.0
2291,"['curahanhaticolongan', 'ngadain', 'vaksin', 'booster', 'rumdin', 'walkot', 'bin', 'nyuntikin', 'gapake', 'apd', 'anjing', 'kaos', 'celana', 'pendek', 'booster', 'cek', 'tekan', 'darah', 'tidakadauang', 'cek', 'tekan', 'darah', 'adanggak', 'gejala', 'sakit']",-1.0,-1.0
3002,"['nonton', 'konser', 'usia', 'atas', 'vaksin', 'booster']",-1.0,-1.0
3689,"['selamat', 'siang', 'kakak', 'jalan', 'rute', 'pekalongansemarang', 'poncol', 'kakak', 'kamandaka', 'kaligung', 'joglosemarkerto', 'wajib', 'vaksin', 'booster', 'berangkat', 'wajib', 'vaksin', 'minimal', 'dosis']",-1.0,-1.0
3855,"['drama', 'vaksin', 'booster']",-1.0,-1.0
2689,"['anggota', 'tegineneng', 'laksana', 'sambang', 'monitoring', 'giat', 'vaksin', 'booster', 'gedung', 'gumanti', 'tegineneng', 'sawar', 'himbauan', 'ikut', 'protkes', 'ketat', 'putus', 'viros', 'corona']",-1.0,-1.0
952,"['selamat', 'siang', 'sertifikat', 'vaksin', 'booster', 'muncul', 'aplikasi', 'peduli', 'lindung', 'boarding', 'tunjuk', 'bukti', 'vaksinasi', 'bentuk', 'cetak']",1.0,1.0
3013,"['warga', 'tangerang', 'selatan', 'risau', 'vaksin', 'covid', 'khawatir', 'daftar', 'vaksin', 'booster', 'lengkap', 'jadwal', 'syarat']",1.0,1.0
2658,"['hasil', 'jbjb', 'base', 'rp', 'lee', 'know', 'kenal', 'topik', 'bekas', 'bahas', 'laper', 'masak', 'mie', 'habis', 'masak', 'mie', 'antri', 'vaksin', 'booster', 'inget']",1.0,1.0
3605,"['habis', 'vaksin', 'booster', 'covid', 'sakjane', 'males', 'syarat', 'jalan', 'emboh']",-1.0,-1.0
4401,"['nonton', 'konser', 'link', 'vaksin', 'booster', 'coba', 'cek', 'lab', 'kimia', 'farma']",-1.0,1.0
4739,"['vaksin', 'booster', 'kota', 'informasi', 'vaksin', 'daerah', 'kosong', 'terima', 'kasih']",1.0,1.0
1002,"['ayo', 'vaksin', 'booster']",1.0,1.0
221,"['jare', 'awat', 'jaga', 'durung', 'vaksin', 'booster', 'lek', 'booster', 'soale', 'silak', 'expired', 'eman', 'vaksin', 'gratis', 'dimanfaatke']",1.0,1.0
101,"['fasilitas', 'vaksin', 'booster', 'stasiun', 'ps']",1.0,1.0
4559,"['infooo', 'vaksin', 'booster', 'daera', 'bekas']",-1.0,-1.0
1684,"['ngeremehin', 'covid', 'ayo', 'vaksin', 'booster', 'lohhh']",1.0,1.0
810,"['dinkes', 'daerahkhususibukota', 'persen', 'lanjutusia', 'vaksin', 'booster']",1.0,1.0
4174,"['dinusian', 'informasi', 'vaksin', 'booster', 'akak', 'akak']",1.0,1.0
1978,"['lanjutusia', 'bogormenggunakan', 'vaksin', 'buat', 'indonesiaindovac', 'biofarma', 'usaha', 'bumn', 'laksana', 'vaksin', 'booster', 'bukti', 'vaksin', 'karya', 'anak', 'bangsa', 'kualitas', 'baikamanamphalal']",1.0,1.0
3220,"['ancol', 'wajib', 'vaksin', 'booster', 'vaksin']",-1.0,-1.0
4056,"['mjb', 'ibu', 'pas', 'vaksin', 'sertif', 'vaksin', 'diitung', 'vaksin', 'vaksin', 'booster', 'diitung', 'vaksin', 'ibu', 'mall', 'anggap', 'vaksin', 'booster']",1.0,1.0
964,"['bantu', 'laku', 'hasil', 'antigen', 'rapid', 'rest', 'tumpang', 'vaksin', 'booster', 'jarak']",1.0,1.0
4591,"['punteeen', 'barangkali', 'lokasi', 'vaksin', 'booster', 'ready', 'stok']",-1.0,-1.0
5614,"['tetep', 'pakai', 'cuci', 'tangan', 'pakai', 'sabun', 'hindar', 'kerumun', 'pandemi', 'jaga', 'protokol', 'sehat', 'lengkap', 'dosis', 'vaksin', 'booster', 'jaga', 'prokes']",1.0,1.0
4375,"['informasi', 'vaksin', 'booster', 'medan']",1.0,1.0
3774,"['vaksin', 'booster', 'daerah', 'balaraja', 'susah', 'banget', 'info']",-1.0,-1.0
465,"['lanjutusia', 'purnawirawan', 'angkat', 'laut', 'vaksin', 'booster', 'dosis', 'ayo', 'anak', 'muda', 'millennial', 'takut', 'booster', 'capai', 'community', 'herd', 'cegah', 'covid']",1.0,1.0
3560,"['dulur', 'nyuwun', 'tulung', 'informasi', 'vaksin', 'booster']",1.0,1.0
